threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,procrustes_corr,adj_procrustes_corr,delta_procrustes_corr,mantel_spearman_r,adj_mantel_spearman_r,delta_mantel_spearman_r,rv_coeff,adj_rv_coeff,delta_rv_coeff,embedding_distance_pearson_r,adj_embedding_distance_pearson_r,delta_embedding_distance_pearson_r
0.05,20,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5300452279589313,0.9803194781948157,0.4502742502358844,0.31267695425704517,0.9628291794000207,0.6501522251429754,0.6805450126607241,0.9626948941521999,0.2821498814914758,0.3356950470620342,0.9935232430995686,0.6578281960375345
0.1,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.338627130191806,0.8382894230310688,0.4996622928392628,0.28831203285239215,0.8454034834455393,0.5570914505931471,0.46964146140912355,0.9133056186300622,0.44366415722093866,0.3080017800400273,0.9112163275183168,0.6032145474782895
0.1,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3574856354282602,0.8710801424467942,0.513594507018534,0.38054858956720355,0.9160531810428283,0.5355045914756247,0.4829416171073283,0.9408353936500823,0.457893776542754,0.4123245913738179,0.9632920995334769,0.550967508159659
0.1,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.40427717437635957,0.7906732999073725,0.3863961255310129,0.43562577266038793,0.837041278403612,0.40141550574322404,0.49043566036800856,0.7841514774698375,0.2937158171018289,0.4593989963128145,0.8835320152600302,0.4241330189472157
0.1,5,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.47890974586720025,0.9109801360184604,0.43207039015126014,0.374130938949337,0.9441871301606908,0.5700561912113538,0.6031166945452845,0.9552939211101857,0.35217722656490125,0.397283041959623,0.9550783388914109,0.5577952969317879
0.1,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4791583858252484,0.9430965643104312,0.4639381784851828,0.39652753793495094,0.9902955528686745,0.5937680149337237,0.5890075282580082,0.9320660615405019,0.3430585332824937,0.4346169827340571,0.9767752980931376,0.5421583153590805
0.1,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5892398850766629,0.8345418680852802,0.24530198300861727,0.3783317411334496,0.9379042839939856,0.559572542860536,0.6687560520185816,0.8219738186687529,0.15321776665017128,0.39892450206404173,0.9088195964865474,0.5098950944225057
0.1,10,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.33136349939371046,0.9631974435659341,0.6318339441722236,0.22679226470051955,0.9647341173376156,0.737941852637096,0.4769082996732502,0.9847569445203618,0.5078486448471116,0.2810364103071029,0.9844465938781781,0.7034101835710752
0.1,10,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3545384864716905,0.7207163548608406,0.3661778683891501,0.376747515271488,0.8800570766466836,0.5033095613751957,0.495782165336828,0.4816157291674463,-0.01416643616938168,0.42767293305398923,0.8668937252208395,0.4392207921668503
0.1,10,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3783752368315201,0.8325072544308383,0.4541320175993182,0.49103694685654964,0.8793872946148067,0.38835034775825705,0.520044841145736,0.8229720454406797,0.3029272042949437,0.5233875381357104,0.9221254426128684,0.39873790447715807
