pair,branch,hypothesis_id,hypothesis_name,adjusted_r2,delta_adjusted_r2_vs_base
BAC↔AMF,presence/absence,F,abiotic_plus_alpha_dark,0.2389029872237791,0.0098690637075822
BAC↔AMF,presence/absence,G,abiotic_plus_pool_compl,0.2375683618266042,0.0085344383104073
BAC↔EUK,CLR,A,abiotic_base,0.2421809306218225,0.0
BAC↔EUK,CLR,B,abiotic_plus_alpha,0.2497596544719953,0.0075787238501727
BAC↔EUK,CLR,C,abiotic_plus_dark,0.2448321733890204,0.0026512427671978
BAC↔EUK,CLR,D,abiotic_plus_pool,0.2483255710073023,0.0061446403854797
BAC↔EUK,CLR,E,abiotic_plus_compl,0.2382119738178272,-0.0039689568039953
BAC↔EUK,CLR,F,abiotic_plus_alpha_dark,0.2485953878048951,0.0064144571830725
BAC↔EUK,CLR,G,abiotic_plus_pool_compl,0.2461781931641746,0.0039972625423521
BAC↔EUK,CLR,A,abiotic_base,0.2342759780930168,0.0
BAC↔EUK,CLR,B,abiotic_plus_alpha,0.2406975366069571,0.0064215585139403
BAC↔EUK,CLR,C,abiotic_plus_dark,0.2362639827096005,0.0019880046165837
BAC↔EUK,CLR,D,abiotic_plus_pool,0.2393272825956988,0.0050513045026819
BAC↔EUK,CLR,E,abiotic_plus_compl,0.2302220610997806,-0.0040539169932362
BAC↔EUK,CLR,F,abiotic_plus_alpha_dark,0.2395640321671772,0.0052880540741604
BAC↔EUK,CLR,G,abiotic_plus_pool_compl,0.2368722890254141,0.0025963109323973
BAC↔EUK,presence/absence,A,abiotic_base,0.2544517292583004,0.0
BAC↔EUK,presence/absence,B,abiotic_plus_alpha,0.2607080343216051,0.0062563050633047
BAC↔EUK,presence/absence,C,abiotic_plus_dark,0.2556820960987165,0.0012303668404161
BAC↔EUK,presence/absence,D,abiotic_plus_pool,0.2585176905141196,0.0040659612558192
BAC↔EUK,presence/absence,E,abiotic_plus_compl,0.2517733768112918,-0.0026783524470085
BAC↔EUK,presence/absence,F,abiotic_plus_alpha_dark,0.2593425155386452,0.0048907862803447
