record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,A,abiotic_base,20440702,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.1934499814970212,0.1632043558031595,6.395965600284524,0.001,999,direct_aitchison,bio12now.100,0.1934499814970212,0.1718930509007896,0.0215569305962315,0.1632043558031595,0.1514459657378462,0.0117583900653133,0.1632043558031595,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,A,abiotic_base,20440702,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.1934499814970212,0.1632043558031595,6.395965600284524,0.001,999,direct_aitchison,N_pct,0.1934499814970212,0.1844983680456396,0.0089516134513815,0.1632043558031595,0.1643625252813345,-0.001158169478175,0.1632043558031595,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20440703,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2162240725525636,0.1765392154666175,5.448528442077631,0.001,999,direct_aitchison,pH_KCl,0.2162240725525636,0.1129110067608717,0.1033130657916918,0.1765392154666175,0.0796451695144044,0.096894045952213,0.1632043558031595,0.013334859663458
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20440703,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2162240725525636,0.1765392154666175,5.448528442077631,0.001,999,direct_aitchison,alpha,0.2162240725525636,0.1934499814970212,0.0227740910555424,0.1765392154666175,0.1632043558031595,0.013334859663458,0.1632043558031595,0.013334859663458
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20440703,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2162240725525636,0.1765392154666175,5.448528442077631,0.001,999,direct_aitchison,bio12now.100,0.2162240725525636,0.1970046955509226,0.019219377001641,0.1765392154666175,0.1668923716340822,0.0096468438325353,0.1632043558031595,0.013334859663458
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20440703,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2162240725525636,0.1765392154666175,5.448528442077631,0.001,999,direct_aitchison,N_pct,0.2162240725525636,0.2079034787692906,0.0083205937832729,0.1765392154666175,0.178199859223139,-0.0016606437565215,0.1632043558031595,0.013334859663458
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20440704,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2033717905011896,0.163036184956946,5.041991752872383,0.001,999,direct_aitchison,pH_KCl,0.2033717905011896,0.0880587829828263,0.1153130075183632,0.163036184956946,0.0538609873446823,0.1091751976122636,0.1632043558031595,-0.0001681708462134
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20440704,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2033717905011896,0.163036184956946,5.041991752872383,0.001,999,direct_aitchison,bio12now.100,0.2033717905011896,0.1845488985238601,0.0188228919773294,0.163036184956946,0.1539694822185049,0.0090667027384411,0.1632043558031595,-0.0001681708462134
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20440704,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2033717905011896,0.163036184956946,5.041991752872383,0.001,999,direct_aitchison,dark,0.2033717905011896,0.1934499814970212,0.0099218090041683,0.163036184956946,0.1632043558031595,-0.0001681708462134,0.1632043558031595,-0.0001681708462134
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20440704,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2033717905011896,0.163036184956946,5.041991752872383,0.001,999,direct_aitchison,N_pct,0.2033717905011896,0.1961086409472691,0.0072631495539204,0.163036184956946,0.1659627149827918,-0.0029265300258457,0.1632043558031595,-0.0001681708462134
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20440705,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.2090420477919956,0.1689935438827295,5.219721772019291,0.001,999,direct_aitchison,pH_KCl,0.2090420477919956,0.1012543471354833,0.1077877006565123,0.1689935438827295,0.067551385153064,0.1014421587296655,0.1632043558031595,0.00578918807957
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20440705,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.2090420477919956,0.1689935438827295,5.219721772019291,0.001,999,direct_aitchison,bio12now.100,0.2090420477919956,0.1908814400565962,0.0181606077353994,0.1689935438827295,0.1605394940587186,0.0084540498240109,0.1632043558031595,0.00578918807957
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20440705,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.2090420477919956,0.1689935438827295,5.219721772019291,0.001,999,direct_aitchison,pool,0.2090420477919956,0.1934499814970212,0.0155920662949744,0.1689935438827295,0.1632043558031595,0.00578918807957,0.1632043558031595,0.00578918807957
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20440705,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.2090420477919956,0.1689935438827295,5.219721772019291,0.001,999,direct_aitchison,N_pct,0.2090420477919956,0.2018082312869125,0.0072338165050831,0.1689935438827295,0.1718760399601716,-0.002882496077442,0.1632043558031595,0.00578918807957
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,E,abiotic_plus_compl,20440706,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.1986621553010322,0.1580880872150086,4.896283874711204,0.001,999,direct_aitchison,pH_KCl,0.1986621553010322,0.0788405338065956,0.1198216214944366,0.1580880872150086,0.0442970538243429,0.1137910333906657,0.1632043558031595,-0.0051162685881508
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,E,abiotic_plus_compl,20440706,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.1986621553010322,0.1580880872150086,4.896283874711204,0.001,999,direct_aitchison,bio12now.100,0.1986621553010322,0.1771254115306334,0.0215367437703988,0.1580880872150086,0.1462676144630321,0.0118204727519765,0.1632043558031595,-0.0051162685881508
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,E,abiotic_plus_compl,20440706,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.1986621553010322,0.1580880872150086,4.896283874711204,0.001,999,direct_aitchison,N_pct,0.1986621553010322,0.1894691302174612,0.009193025083571,0.1580880872150086,0.159074222600616,-0.0009861353856073,0.1632043558031595,-0.0051162685881508
